Year,Team,Nickname,Players in squad,Average Age,Foreign Players,Market Value,Average Market Value,Coaches,Players Used,Matches,W,D,L,GF,GA,+/-,Points
2013,Los Angeles Galaxy,Los Angeles,43,25.9,16,20.33 Mill. €,473 Th. €,1,27,34,15,8,11,53,38,15,53
2013,New England Revolution,Revolution,31,24.3,10,7.98 Mill. €,257 Th. €,1,26,34,14,9,11,49,38,11,51
2013,San Jose Earthquakes,Quakes,36,26.1,15,12.35 Mill. €,343 Th. €,2,28,34,14,9,11,35,42,-7,51
2012,CD Chivas USA,Chivas USA,32,25.2,14,6.83 Mill. €,213 Th. €,1,30,34,7,9,18,24,58,-34,30
2013,Columbus Crew SC,Columbus,36,23.8,13,7.75 Mill. €,215 Th. €,2,25,34,12,5,17,42,46,-4,41
2011,Houston Dynamo,Houston,37,25.2,12,9.23 Mill. €,249 Th. €,1,26,34,12,13,9,45,41,4,49
2011,San Jose Earthquakes,Quakes,41,25.0,19,10.65 Mill. €,260 Th. €,1,31,34,8,14,12,40,45,-5,38
2015,Los Angeles Galaxy,Los Angeles,30,26.3,11,9.25 Mill. €,308 Th. €,1,29,34,14,9,11,56,46,10,51
2015,Toronto FC,Toronto,27,24.6,21,31.18 Mill. €,1.15 Mill. €,1,27,34,15,4,15,58,58,0,49
2016,Philadelphia Union,Philadelphia,27,26.4,12,17.05 Mill. €,631 Th. €,1,24,28,11,7,10,47,44,3,40
2012,Toronto FC,Toronto,43,24.2,34,13.53 Mill. €,315 Th. €,2,29,34,5,8,21,36,62,-26,23
2016,Orlando City SC,Orlando,28,25.3,17,14.73 Mill. €,526 Th. €,3,26,26,6,13,7,41,44,-3,31
2013,Montreal Impact,Montreal,29,25.3,23,11.48 Mill. €,396 Th. €,1,25,34,14,7,13,50,49,1,49
2011,Columbus Crew SC,Columbus,49,24.8,18,10.55 Mill. €,215 Th. €,1,26,34,13,8,13,43,44,-1,47
2011,Chicago Fire,Chicago,46,24.8,20,10.25 Mill. €,223 Th. €,2,27,34,9,16,9,46,45,1,43
2011,CD Chivas USA,Chivas USA,45,25.4,28,14.18 Mill. €,315 Th. €,1,27,34,8,12,14,41,43,-2,36
2014,Montreal Impact,Montreal,32,25.9,25,11.13 Mill. €,348 Th. €,1,32,34,6,10,18,38,58,-20,28
2014,Portland Timbers,Timbers,28,26.3,17,11.40 Mill. €,407 Th. €,1,25,34,12,13,9,61,52,9,49
2015,Houston Dynamo,Houston,24,25.1,10,9.53 Mill. €,397 Th. €,1,26,34,11,9,14,42,49,-7,42
2015,Real Salt Lake City,Salt Lake,34,25.2,14,8.78 Mill. €,258 Th. €,1,27,34,11,8,15,38,48,-10,41
2016,Houston Dynamo,Houston,24,27.5,10,9.60 Mill. €,400 Th. €,2,23,26,5,10,11,29,34,-5,25
2016,Sporting Kansas City,Kansas,22,28.3,8,11.93 Mill. €,542 Th. €,1,27,28,11,5,12,32,32,0,38
2013,Toronto FC,Toronto,56,24.4,45,22.30 Mill. €,398 Th. €,1,35,34,6,11,17,30,47,-17,29
